HSCode,Commodity,value,country,year
04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.0,AFGHANISTAN,2022
06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.0,AFGHANISTAN,2022
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,9.98,AFGHANISTAN,2022
08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,228.79,AFGHANISTAN,2022
09,"COFFEE, TEA, MATE AND SPICES.",32.21,AFGHANISTAN,2022
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",17.92,AFGHANISTAN,2022
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",159.99,AFGHANISTAN,2022
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.51,AFGHANISTAN,2022
22,"BEVERAGES, SPIRITS AND VINEGAR.",,AFGHANISTAN,2022
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.12,AFGHANISTAN,2022
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",0.05,AFGHANISTAN,2022
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",,AFGHANISTAN,2022
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",,AFGHANISTAN,2022
39,PLASTIC AND ARTICLES THEREOF.,,AFGHANISTAN,2022
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.0,AFGHANISTAN,2022
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.0,AFGHANISTAN,2022
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",1.79,AFGHANISTAN,2022
52,COTTON.,0.0,AFGHANISTAN,2022
54,MAN-MADE FILAMENTS.,0.01,AFGHANISTAN,2022
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",0.0,AFGHANISTAN,2022
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.21,AFGHANISTAN,2022
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",,AFGHANISTAN,2022
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",0.01,AFGHANISTAN,2022
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,0.0,AFGHANISTAN,2022
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",0.0,AFGHANISTAN,2022
65,HEADGEAR AND PARTS THEREOF.,0.0,AFGHANISTAN,2022
